left,right,x,y,z,,,dy
583,317,0.439453,0.004272,-10.206909,,,0.023803
584,316,0.442505,0.004883,-10.234375,,,0.000611
585,315,0.505981,-0.043945,-10.213623,,,-0.048828
587,313,0.444946,0.026855,-10.235596,,,0.0708
587,313,0.43335,0.007324,-10.230713,,,-0.019531
588,312,0.440674,0.031128,-10.234375,,,0.023804
588,312,0.429688,0.006104,-10.210571,,,-0.025024
589,311,0.397339,0.001831,-10.182495,,,-0.004273
590,310,0.470581,0.012207,-10.230103,,,0.010376
591,309,0.482178,0.015869,-10.224609,,,0.003662
592,308,0.438232,0.004883,-10.19043,,,-0.010986
593,307,0.405273,0.014648,-10.216675,,,0.009765
594,306,0.430908,0.037231,-10.247192,,,0.022583
594,306,0.443726,0.030518,-10.250854,,,-0.006713
,,,,,,,-0.030518
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
